,area_metro_quadrado_int,quartos_int,banheiros_int,vagas_int,preco_anuncio_float
2854,110,2,3,1,650000.0
2855,300,4,4,3,2500000.0
2856,190,2,3,3,590000.0
2858,213,4,6,3,2600000.0
2859,249,4,4,3,2400000.0
2860,518,5,4,3,7500000.0
2862,148,3,3,4,690000.0
2863,660,3,6,5,7000000.0
2864,160,3,3,3,4500000.0
2865,147,3,4,3,1600000.0
2866,484,4,5,4,9500000.0
2867,775,4,4,6,11000000.0
2868,260,4,3,3,2700000.0
2871,280,6,5,3,750000.0
2873,422,4,4,1,2500000.0
2874,600,3,5,4,9500000.0
2875,197,3,5,3,1570000.0
2876,750,5,9,4,8000000.0
2878,750,5,7,8,4400000.0
2879,332,3,2,1,1300000.0
2882,273,3,5,4,5000000.0
2883,114,3,3,3,500000.0
2884,900,3,6,10,18000000.0
2885,250,3,4,3,950000.0
2886,450,4,4,3,4000000.0
2887,184,3,3,2,2200000.0
2888,113,3,2,3,405000.0
2889,460,3,5,6,4950000.0
2890,133,2,3,2,460000.0
2891,250,3,3,1,650000.0
2892,650,4,6,5,2390000.0
2893,600,3,5,3,3950000.0
2894,600,5,7,4,3800000.0
2895,258,3,5,5,3500000.0
2896,400,3,4,3,3450000.0
2897,600,5,4,4,3500000.0
2898,400,4,5,7,3150000.0
2899,160,3,4,2,1300000.0
2900,145,3,2,2,2500000.0
2901,100,3,1,1,445000.0
2902,221,3,4,2,1300000.0
2903,426,4,2,8,2300000.0
2904,433,4,6,4,3600000.0
2905,332,4,4,4,3750000.0
2908,590,5,5,5,2250000.0
2909,419,4,3,4,2660000.0
2911,700,4,4,6,4300000.0
2912,435,4,3,2,3900000.0
2913,314,5,5,4,2980000.0
2915,751,5,5,6,3750000.0
2916,1400,4,8,6,35000000.0
2917,700,6,4,4,4300000.0
2919,144,3,5,2,1100000.0
2920,230,3,2,6,1300000.0
2921,650,4,4,11,26600000.0
2922,550,4,5,4,3500000.0
2923,350,3,3,3,3150000.0
2924,150,3,1,2,1779990.0
2925,560,3,4,8,3500000.0
2926,150,2,2,4,1400000.0
2927,150,3,2,2,2300000.0
2928,190,3,2,8,2000000.0
2930,493,4,4,6,2900000.0
2931,450,3,5,3,5400000.0
2932,330,4,4,4,3700000.0
2933,660,4,8,5,6900000.0
2934,870,7,1,6,3200000.0
2935,110,2,3,1,590000.0
2936,210,4,5,4,2100000.0
2937,107,3,2,2,820000.0
2938,840,3,4,6,13900000.0
2939,250,3,3,4,2800000.0
2940,325,3,4,4,2700000.0
2941,450,4,5,4,3450000.0
2942,730,4,6,3,8000000.0
2943,470,5,5,3,2500000.0
2944,710,4,4,5,7800000.0
2946,670,4,5,6,8700000.0
2947,300,3,4,3,3350000.0
2948,800,5,7,6,9580000.0
2949,288,4,6,2,1890000.0
2950,340,4,5,6,3800000.0
2951,366,4,2,4,5200000.0
2952,1000,5,7,14,6000000.0
2953,144,3,3,7,850000.0
2954,145,2,4,2,540000.0
2955,532,4,6,7,2100000.0
2956,420,4,5,5,5500000.0
2957,270,3,4,2,1580000.0
2958,167,3,5,2,840000.0
2959,1128,4,6,6,9000000.0
2960,80,2,1,2,420000.0
2961,400,6,5,4,7000000.0
2962,210,3,2,3,3000000.0
2963,310,3,3,3,3160000.0
2964,410,3,6,3,3100000.0
2965,365,3,5,2,2990000.0
2966,470,4,5,6,1600000.0
2967,140,3,3,2,890000.0
2968,210,3,3,2,3400000.0
2969,400,4,5,5,5000000.0
2970,400,4,3,6,6000000.0
2971,491,3,3,6,5200000.0
2973,200,5,4,4,1280000.0
2974,900,4,7,10,10000000.0
2975,500,4,4,8,13000000.0
2976,220,3,3,3,920000.0
2977,710,4,4,5,7800000.0
2979,670,4,5,6,8700000.0
2980,300,3,4,3,3350000.0
2981,800,5,7,6,9580000.0
2982,288,4,6,2,1890000.0
2983,340,4,5,6,3800000.0
2984,366,4,2,4,5200000.0
2985,1000,5,7,14,6000000.0
2986,144,3,3,7,850000.0
2987,145,2,4,2,540000.0
2988,532,4,6,7,2100000.0
2989,420,4,5,5,5500000.0
2990,270,3,4,2,1580000.0
2991,167,3,5,2,840000.0
2992,1128,4,6,6,9000000.0
2993,80,2,1,2,420000.0
2994,400,6,5,4,7000000.0
2995,210,3,2,3,3000000.0
2996,310,3,3,3,3160000.0
2997,410,3,6,3,3100000.0
2998,365,3,5,2,2990000.0
2999,470,4,5,6,1600000.0
3000,140,3,3,2,890000.0
3001,210,3,3,2,3400000.0
3002,400,4,5,5,5000000.0
3003,400,4,3,6,6000000.0
3004,491,3,3,6,5200000.0
3006,200,5,4,4,1280000.0
3007,900,4,7,10,10000000.0
3008,500,4,4,8,13000000.0
3009,220,3,3,3,920000.0
3011,330,4,5,4,7900000.0
3012,385,5,3,8,3000000.0
3013,450,3,6,3,4300000.0
3014,300,4,3,3,2120000.0
3015,160,3,1,3,1200000.0
3016,250,4,5,5,1600000.0
3017,989,5,5,5,12000000.0
3018,120,2,2,1,1600000.0
3019,700,4,6,4,12000000.0
3022,379,3,5,3,2300000.0
3023,230,3,5,3,2200000.0
3024,723,3,3,4,16500000.0
3025,120,3,3,1,905000.0
3027,150,3,2,2,930000.0
3028,622,4,6,6,5000000.0
3029,389,3,5,5,1690000.0
3032,180,3,1,2,1080000.0
3033,700,4,6,6,4200000.0
3034,256,3,4,3,3250000.0
3035,600,5,6,5,5800000.0
3036,246,3,3,2,650000.0
3037,543,4,5,4,9500000.0
3041,280,6,5,3,750000.0
3043,422,4,4,1,2500000.0
3044,200,4,5,1,1650000.0
3045,600,3,5,4,9500000.0
3046,197,3,5,3,1570000.0
3047,750,5,9,4,8000000.0
3049,200,2,3,2,2900000.0
3050,1200,4,4,7,25600000.0
3051,420,3,3,3,6800000.0
3052,267,3,5,4,1350000.0
3053,380,3,5,3,2400000.0
3054,400,4,1,5,3500000.0
3055,250,3,4,1,1400000.0
3057,1300,5,7,6,5900000.0
3058,90,2,2,2,460000.0
3059,233,3,2,2,860000.0
3060,250,3,3,4,2900000.0
3061,567,4,3,4,3490000.0
3062,120,2,2,4,800000.0
3063,83,2,3,1,480000.0
3064,170,3,3,3,1200000.0
3065,456,5,4,7,2200000.0
3066,1400,5,8,6,12000000.0
3067,165,3,3,1,560000.0
3068,513,4,7,12,5500000.0
3069,180,5,4,3,450000.0
3070,342,4,6,7,2990000.0
3071,174,4,4,2,1219000.0
3072,180,2,3,2,600000.0
3073,308,5,5,4,2500000.0
3074,820,6,3,6,2990000.0
3075,589,4,5,6,4000000.0
3076,605,4,8,10,5000000.0
3077,160,3,3,2,790000.0
3079,300,3,5,3,2600000.0
3080,1820,5,8,10,12000000.0
3081,550,4,7,4,12000000.0
3082,383,5,7,5,5290000.0
3083,200,3,3,2,950000.0
3084,710,3,3,4,2500000.0
3085,220,4,4,3,1095000.0
3087,285,3,5,4,2150000.0
3088,500,4,5,4,6863720.0
3090,360,4,6,4,5800000.0
3091,300,3,3,3,1990000.0
3093,210,3,1,2,1100000.0
3094,160,3,5,3,2900000.0
3095,730,4,6,10,7800000.0
3096,408,3,5,4,3400000.0
3097,220,3,5,4,1030000.0
3098,630,4,9,7,14000000.0
3099,497,3,4,4,3000000.0
3100,400,5,5,4,1950000.0
3101,203,3,1,2,3100000.0
3105,551,4,8,8,5000000.0
3106,93,3,1,1,531000.0
3107,170,3,2,1,500000.0
3108,352,4,4,3,3600000.0
3110,147,3,2,1,760000.0
3111,446,4,4,5,2100000.0
3112,181,3,1,2,700000.0
3113,880,4,5,3,3500000.0
3114,436,4,4,3,5500000.0
3115,473,4,5,5,3600000.0
3117,357,4,5,4,6400000.0
3118,500,4,3,3,7900000.0
3119,161,3,3,3,1200000.0
3120,800,4,6,6,3700000.0
3121,350,3,3,3,3150000.0
3122,150,3,1,2,1779990.0
3123,560,3,4,8,3500000.0
3124,150,2,2,4,1400000.0
3125,150,3,2,2,2300000.0
3126,190,3,2,8,2000000.0
3128,493,4,4,6,2900000.0
3129,450,3,5,3,5400000.0
3130,330,4,4,4,3700000.0
3131,660,4,8,5,6900000.0
3132,870,7,1,6,3200000.0
3133,110,2,3,1,590000.0
3134,210,4,5,4,2100000.0
3135,350,5,5,4,2200000.0
3136,107,3,2,2,820000.0
3137,840,3,4,6,13900000.0
3138,250,3,3,4,2800000.0
3139,325,3,4,4,2700000.0
3140,190,2,2,3,1200000.0
3141,366,3,4,3,3850000.0
3142,173,4,2,2,1100000.0
3144,600,4,6,4,3500000.0
3145,481,4,6,4,3500000.0
3146,235,3,3,2,530000.0
3147,307,4,5,6,2300000.0
3148,339,4,4,4,4340000.0
3149,350,4,2,4,8000000.0
3150,560,5,3,4,3100000.0
3151,139,5,5,5,1200000.0
3152,570,4,7,5,11000000.0
3153,80,2,1,2,430000.0
3154,230,5,3,4,4600000.0
3155,130,2,1,6,1450000.0
3156,500,4,5,5,5000000.0
3157,300,3,5,3,1599000.0
3158,370,3,5,4,3672500.0
3159,700,4,9,4,2780000.0
3160,872,4,5,7,18000000.0
3161,953,4,8,7,25000000.0
3162,180,3,3,2,2200000.0
3163,870,4,9,6,6000000.0
3164,600,4,6,3,7500000.0
3166,800,5,8,6,8000000.0
3168,700,3,5,4,3300000.0
3169,756,5,6,5,3800000.0
3170,250,2,2,1,1020000.0
3171,600,4,6,6,3500000.0
3172,332,4,7,6,5500000.0
3173,200,3,4,2,940000.0
3174,450,4,5,10,2800000.0
3175,270,4,4,3,1280000.0
3176,150,4,3,2,2500000.0
3177,195,3,4,2,1800000.0
3178,375,4,4,3,3600000.0
3180,540,4,6,4,4000000.0
3181,161,2,2,2,946000.0
3182,400,3,6,3,6600000.0
3183,310,4,4,2,5000000.0
3184,600,4,5,3,4500000.0
3186,350,4,5,8,3200000.0
3187,450,4,4,4,3700000.0
3188,700,4,6,6,4950000.0
3189,196,3,3,2,3000000.0
3190,196,3,2,4,1800000.0
3191,274,3,5,3,1950000.0
3192,372,4,5,6,2500000.0
3193,450,5,4,3,2130000.0
3194,1100,6,10,12,10000000.0
3195,120,3,2,2,850000.0
3196,487,3,3,4,4200000.0
3197,320,4,6,4,2700000.0
3198,278,4,7,4,2890000.0
3199,360,3,3,2,4500000.0
3200,372,3,3,10,4650000.0
3201,447,4,6,4,3500000.0
3202,250,3,4,1,775000.0
3203,241,3,3,4,4500000.0
3204,450,4,4,6,2700000.0
3205,338,4,2,4,3500000.0
3206,350,4,3,3,3800000.0
3207,920,6,10,12,10000000.0
3208,140,2,2,1,1915000.0
3209,900,4,9,10,8000000.0
3210,420,4,5,4,3800000.0
3211,448,4,5,3,3000000.0
3212,419,3,7,4,4800000.0
3213,470,4,2,6,5700000.0
3214,261,3,1,2,3300000.0
3215,140,3,3,2,1250000.0
3216,751,5,8,6,3500000.0
3217,210,3,4,3,2130000.0
3218,350,3,5,3,3500000.0
3222,131,1,1,1,640000.0
3223,492,4,6,4,4300000.0
3224,442,5,3,5,4990000.0
3225,350,3,5,4,3190000.0
3226,752,4,6,6,14000000.0
3227,180,3,2,5,4032000.0
3228,124,3,2,2,690000.0
3229,274,3,5,3,1950000.0
3230,372,4,5,6,2500000.0
3231,324,4,5,3,3500000.0
3232,704,4,2,7,2500000.0
3233,450,4,5,4,2970000.0
3234,1050,3,6,9,7800000.0
3235,266,3,3,3,2000000.0
3236,126,1,1,2,2500000.0
3237,918,5,7,10,9000000.0
3238,233,3,3,2,4950000.0
3239,402,3,1,4,3800000.0
3241,688,4,5,6,4500000.0
3242,404,4,5,4,1600000.0
3244,650,3,5,6,13900000.0
3245,475,5,3,4,4000000.0
3246,656,3,4,5,5300000.0
3248,170,2,2,3,1200000.0
3249,450,2,3,6,17000000.0
3251,368,3,5,4,2500000.0
3252,450,4,5,6,2150000.0
3253,422,4,4,6,4500000.0
3254,220,3,2,2,1880000.0
3255,1000,4,3,4,8990000.0
3256,44,1,1,1,345000.0
3257,356,4,7,5,3850000.0
3258,290,4,3,4,2230000.0
3260,180,3,2,2,899990.0
3261,140,4,3,2,1470000.0
